User ID,Preferred Category,Budget,Weather Preference,Trip Duration,Travel History,Rating History
53,Beach,Medium,Sunny,Long,"Destination17,Destination11","4,5"
54,Adventure,High,Sunny,Short,"Destination5,Destination45","2,5"
55,Beach,Medium,Cold,Long,"Destination10,Destination28","2,1"
56,Nature,Medium,Sunny,Medium,"Destination14,Destination44","2,1"
57,Nature,High,Rainy,Long,"Destination48,Destination10","2,2"
58,Historical,Medium,Sunny,Short,"Destination48,Destination22","4,2"
59,Nature,Low,Cold,Short,"Destination25,Destination3","4,2"
60,Historical,Medium,Rainy,Medium,"Destination15,Destination15","1,2"
61,Adventure,Medium,Rainy,Short,"Destination50,Destination18","3,5"
62,Adventure,High,Cold,Medium,"Destination2,Destination8","3,2"
63,Spiritual,Medium,Sunny,Short,"Destination39,Destination28","3,3"
64,Adventure,High,Cold,Short,"Destination25,Destination37","2,3"
65,Beach,High,Rainy,Short,"Destination34,Destination35","2,3"
66,Adventure,Low,Cold,Medium,"Destination40,Destination21","1,3"
67,Spiritual,Medium,Cold,Medium,"Destination21,Destination26","3,5"
68,Historical,Low,Rainy,Long,"Destination25,Destination44","2,5"
69,Spiritual,Medium,Rainy,Long,"Destination1,Destination20","3,2"
70,Adventure,High,Cold,Long,"Destination21,Destination30","4,4"
71,Historical,High,Rainy,Long,"Destination11,Destination43","1,3"
72,Spiritual,High,Cold,Long,"Destination22,Destination6","2,3"
73,Historical,Low,Sunny,Short,"Destination3,Destination16","4,5"
74,Beach,Medium,Rainy,Long,"Destination37,Destination13","4,4"
75,Adventure,Low,Sunny,Long,"Destination45,Destination1","1,4"
76,Historical,Low,Cold,Long,"Destination30,Destination4","5,2"
77,Beach,Medium,Sunny,Medium,"Destination43,Destination34","5,5"
78,Nature,Medium,Cold,Long,"Destination33,Destination28","5,4"
79,Historical,High,Rainy,Medium,"Destination17,Destination49","2,3"
80,Spiritual,Medium,Cold,Short,"Destination18,Destination29","1,3"
81,Historical,Medium,Rainy,Medium,"Destination35,Destination6","2,2"
82,Historical,Medium,Cold,Short,"Destination46,Destination14","1,4"
83,Adventure,Medium,Cold,Medium,"Destination27,Destination4","2,4"
84,Adventure,High,Cold,Short,"Destination49,Destination37","4,4"
85,Beach,Medium,Rainy,Medium,"Destination27,Destination35","5,5"
86,Historical,Medium,Sunny,Medium,"Destination28,Destination32","1,4"
87,Nature,High,Cold,Medium,"Destination47,Destination11","4,2"
88,Spiritual,High,Sunny,Medium,"Destination38,Destination37","1,1"
89,Adventure,Low,Rainy,Short,"Destination4,Destination17","4,3"
90,Historical,Medium,Rainy,Medium,"Destination49,Destination25","3,4"
91,Nature,Low,Rainy,Short,"Destination48,Destination35","1,3"
92,Historical,High,Sunny,Long,"Destination3,Destination49","1,2"
93,Historical,Low,Cold,Short,"Destination16,Destination9","4,1"
94,Spiritual,Low,Rainy,Long,"Destination17,Destination50","3,2"
95,Spiritual,High,Cold,Long,"Destination8,Destination50","2,3"
96,Beach,High,Sunny,Medium,"Destination37,Destination44","4,4"
97,Historical,Low,Cold,Long,"Destination41,Destination16","1,3"
98,Spiritual,Low,Cold,Short,"Destination23,Destination35","4,3"
99,Beach,High,Cold,Medium,"Destination1,Destination27","4,1"
100,Adventure,Medium,Cold,Medium,"Destination46,Destination10","4,2"
101,Spiritual,High,Rainy,Long,"Destination35,Destination50","4,4"
102,Adventure,High,Cold,Medium,"Destination21,Destination16","1,3"
103,Adventure,Low,Rainy,Long,"Destination40,Destination43","4,3"
104,Beach,Medium,Rainy,Short,"Destination32,Destination14","3,3"
105,Nature,Medium,Cold,Long,"Destination18,Destination36","1,5"
106,Historical,Low,Sunny,Long,"Destination27,Destination32","5,2"
107,Adventure,High,Cold,Medium,"Destination29,Destination2","1,3"
108,Historical,Medium,Cold,Short,"Destination20,Destination43","5,3"
109,Adventure,High,Cold,Medium,"Destination28,Destination48","5,3"
110,Nature,High,Rainy,Medium,"Destination20,Destination17","2,1"
111,Historical,Medium,Sunny,Long,"Destination35,Destination49","2,2"
112,Historical,High,Rainy,Medium,"Destination47,Destination38","5,5"
113,Nature,Low,Sunny,Medium,"Destination15,Destination24","2,3"
114,Beach,High,Cold,Short,"Destination18,Destination3","1,5"
115,Nature,High,Sunny,Long,"Destination49,Destination32","1,1"
116,Spiritual,Medium,Rainy,Medium,"Destination29,Destination22","2,1"
117,Nature,Medium,Sunny,Short,"Destination26,Destination32","1,5"
118,Beach,Low,Sunny,Long,"Destination20,Destination6","2,1"
119,Spiritual,Medium,Cold,Long,"Destination40,Destination15","5,4"
120,Adventure,Medium,Rainy,Long,"Destination28,Destination20","5,5"
121,Beach,High,Cold,Short,"Destination49,Destination14","2,3"
122,Beach,Low,Sunny,Short,"Destination36,Destination5","2,1"
123,Adventure,Medium,Cold,Long,"Destination31,Destination19","1,2"
124,Nature,High,Rainy,Long,"Destination30,Destination5","2,3"
125,Spiritual,High,Sunny,Medium,"Destination8,Destination35","2,2"
126,Nature,Low,Sunny,Short,"Destination11,Destination20","5,5"
127,Nature,Medium,Sunny,Medium,"Destination45,Destination20","4,3"
128,Spiritual,High,Rainy,Medium,"Destination6,Destination39","1,4"
129,Nature,High,Rainy,Short,"Destination6,Destination15","5,5"
130,Beach,High,Rainy,Long,"Destination3,Destination49","2,4"
131,Spiritual,High,Rainy,Medium,"Destination12,Destination38","4,4"
132,Beach,Medium,Rainy,Medium,"Destination22,Destination21","1,2"
133,Nature,Medium,Cold,Medium,"Destination19,Destination43","4,5"
134,Beach,Medium,Sunny,Medium,"Destination17,Destination21","1,4"
135,Spiritual,Low,Cold,Long,"Destination30,Destination27","1,2"
136,Spiritual,Medium,Cold,Medium,"Destination41,Destination29","1,2"
137,Nature,High,Sunny,Medium,"Destination29,Destination45","4,1"
138,Beach,High,Cold,Short,"Destination46,Destination11","3,5"
139,Beach,High,Rainy,Short,"Destination15,Destination8","4,1"
140,Historical,Medium,Cold,Medium,"Destination33,Destination46","3,4"
141,Adventure,Medium,Sunny,Medium,"Destination36,Destination10","4,2"
142,Spiritual,High,Cold,Short,"Destination5,Destination18","4,3"
143,Spiritual,Medium,Sunny,Medium,"Destination47,Destination20","5,5"
144,Adventure,Low,Rainy,Long,"Destination31,Destination23","3,5"
145,Spiritual,Medium,Rainy,Medium,"Destination13,Destination45","2,5"
146,Adventure,Low,Rainy,Short,"Destination21,Destination48","4,4"
147,Adventure,High,Cold,Short,"Destination32,Destination3","2,5"
148,Spiritual,Medium,Sunny,Medium,"Destination7,Destination34","4,1"
149,Historical,Medium,Cold,Short,"Destination5,Destination31","3,3"
150,Spiritual,High,Rainy,Long,"Destination6,Destination22","5,4"
151,Nature,High,Cold,Medium,"Destination35,Destination3","5,1"
152,Historical,High,Cold,Medium,"Destination15,Destination48","1,4"
153,Beach,High,Cold,Short,"Destination29,Destination11","3,1"
154,Beach,Medium,Sunny,Medium,"Destination23,Destination24","4,2"
155,Historical,High,Rainy,Long,"Destination44,Destination12","2,2"
156,Beach,High,Rainy,Long,"Destination44,Destination16","4,5"
157,Historical,Low,Rainy,Long,"Destination17,Destination30","3,1"
158,Adventure,Medium,Cold,Long,"Destination11,Destination5","4,3"
159,Spiritual,Medium,Cold,Medium,"Destination45,Destination17","4,3"
160,Historical,Medium,Rainy,Short,"Destination16,Destination25","5,3"
161,Spiritual,Medium,Cold,Medium,"Destination2,Destination43","4,3"
162,Beach,High,Cold,Long,"Destination4,Destination39","4,3"
163,Historical,High,Rainy,Short,"Destination41,Destination13","5,3"
164,Historical,High,Sunny,Long,"Destination42,Destination3","3,4"
165,Beach,High,Rainy,Long,"Destination9,Destination6","3,3"
166,Adventure,Low,Sunny,Short,"Destination35,Destination24","5,5"
167,Nature,Low,Rainy,Medium,"Destination19,Destination48","3,1"
168,Adventure,Low,Sunny,Short,"Destination44,Destination47","4,5"
169,Nature,Low,Rainy,Short,"Destination17,Destination35","1,4"
170,Nature,High,Cold,Long,"Destination17,Destination38","4,3"
171,Beach,High,Sunny,Medium,"Destination2,Destination40","5,3"
172,Spiritual,Low,Cold,Short,"Destination41,Destination30","3,4"
173,Beach,Low,Sunny,Short,"Destination20,Destination32","1,1"
174,Historical,High,Sunny,Medium,"Destination30,Destination24","5,4"
175,Spiritual,High,Cold,Short,"Destination27,Destination42","1,4"
176,Spiritual,Medium,Rainy,Short,"Destination45,Destination24","2,4"
177,Adventure,Low,Rainy,Short,"Destination44,Destination24","5,3"
178,Beach,Medium,Rainy,Short,"Destination8,Destination30","1,2"
179,Spiritual,Low,Sunny,Medium,"Destination16,Destination9","5,2"
180,Beach,High,Sunny,Long,"Destination14,Destination15","3,2"
181,Spiritual,Low,Rainy,Short,"Destination9,Destination35","3,2"
182,Beach,High,Sunny,Short,"Destination1,Destination23","2,5"
183,Nature,Low,Sunny,Medium,"Destination4,Destination9","4,5"
184,Beach,High,Sunny,Medium,"Destination29,Destination50","3,5"
185,Spiritual,Low,Rainy,Long,"Destination15,Destination40","1,5"
186,Nature,Medium,Cold,Short,"Destination4,Destination31","4,4"
187,Beach,Medium,Cold,Medium,"Destination5,Destination6","3,5"
188,Historical,Low,Sunny,Medium,"Destination40,Destination41","5,5"
189,Nature,Medium,Cold,Long,"Destination19,Destination30","5,5"
190,Adventure,Low,Cold,Short,"Destination42,Destination42","5,2"
191,Adventure,Medium,Sunny,Medium,"Destination22,Destination30","4,4"
192,Beach,Medium,Rainy,Medium,"Destination43,Destination17","3,2"
193,Adventure,Low,Sunny,Short,"Destination6,Destination28","1,3"
194,Historical,High,Sunny,Long,"Destination36,Destination36","3,1"
195,Adventure,Medium,Cold,Medium,"Destination47,Destination4","3,5"
196,Nature,Medium,Sunny,Long,"Destination33,Destination14","2,4"
197,Historical,Low,Rainy,Long,"Destination24,Destination8","3,5"
198,Historical,Medium,Cold,Long,"Destination40,Destination44","5,1"
199,Spiritual,High,Cold,Medium,"Destination2,Destination12","3,3"
200,Nature,Medium,Sunny,Short,"Destination10,Destination37","4,1"
201,Historical,High,Cold,Short,"Destination6,Destination48","5,2"
202,Adventure,Medium,Rainy,Medium,"Destination11,Destination24","3,3"
203,Spiritual,High,Sunny,Short,"Destination10,Destination11","5,1"
204,Beach,Medium,Rainy,Long,"Destination28,Destination32","5,4"
205,Adventure,Medium,Sunny,Long,"Destination8,Destination23","4,1"
206,Nature,High,Cold,Long,"Destination32,Destination34","3,1"
207,Historical,Medium,Cold,Short,"Destination1,Destination14","3,2"
208,Historical,Medium,Rainy,Medium,"Destination8,Destination1","4,4"
209,Historical,Low,Rainy,Long,"Destination46,Destination15","5,5"
210,Nature,Low,Rainy,Long,"Destination3,Destination28","1,4"
211,Beach,Medium,Cold,Medium,"Destination37,Destination26","4,3"
212,Beach,Medium,Sunny,Medium,"Destination11,Destination40","4,3"
213,Beach,Medium,Sunny,Short,"Destination28,Destination38","4,5"
214,Beach,Medium,Rainy,Long,"Destination22,Destination15","3,2"
215,Beach,High,Cold,Short,"Destination34,Destination33","2,3"
216,Nature,High,Cold,Short,"Destination16,Destination7","2,3"
217,Historical,Low,Cold,Short,"Destination49,Destination49","1,2"
218,Adventure,Medium,Cold,Long,"Destination29,Destination44","5,5"
219,Nature,High,Rainy,Short,"Destination29,Destination5","4,4"
220,Nature,Medium,Cold,Short,"Destination23,Destination33","1,3"
221,Adventure,Medium,Sunny,Short,"Destination24,Destination19","1,1"
222,Spiritual,High,Cold,Medium,"Destination30,Destination38","5,1"
223,Adventure,High,Cold,Short,"Destination21,Destination39","4,5"
224,Historical,Low,Rainy,Short,"Destination22,Destination46","1,5"
225,Historical,Low,Sunny,Long,"Destination29,Destination29","5,5"
226,Spiritual,Low,Rainy,Medium,"Destination19,Destination25","4,3"
227,Spiritual,Low,Cold,Long,"Destination22,Destination5","3,1"
228,Spiritual,High,Rainy,Medium,"Destination17,Destination47","5,2"
229,Nature,Low,Cold,Long,"Destination10,Destination23","3,4"
230,Historical,High,Cold,Short,"Destination20,Destination36","4,3"
231,Historical,High,Cold,Long,"Destination44,Destination34","1,4"
232,Spiritual,Medium,Sunny,Medium,"Destination20,Destination12","2,3"
233,Adventure,Low,Sunny,Short,"Destination10,Destination5","3,1"
234,Spiritual,High,Cold,Long,"Destination3,Destination43","3,5"
235,Historical,High,Rainy,Short,"Destination11,Destination12","5,2"
236,Adventure,Low,Rainy,Medium,"Destination44,Destination47","2,4"
237,Spiritual,Medium,Cold,Medium,"Destination15,Destination35","2,3"
238,Adventure,Low,Rainy,Long,"Destination37,Destination29","4,3"
239,Adventure,High,Cold,Medium,"Destination11,Destination13","5,2"
240,Nature,Low,Cold,Medium,"Destination24,Destination36","1,5"
241,Beach,Medium,Sunny,Short,"Destination18,Destination29","5,2"
242,Adventure,Low,Sunny,Medium,"Destination23,Destination2","4,1"
243,Adventure,High,Rainy,Short,"Destination25,Destination6","3,2"
244,Beach,Medium,Sunny,Long,"Destination42,Destination22","2,2"
245,Beach,Medium,Rainy,Long,"Destination9,Destination49","4,4"
246,Spiritual,Low,Sunny,Short,"Destination17,Destination14","2,5"
247,Spiritual,High,Rainy,Short,"Destination50,Destination19","2,3"
248,Beach,Low,Sunny,Medium,"Destination41,Destination40","4,1"
249,Beach,Medium,Cold,Long,"Destination2,Destination41","5,5"
250,Historical,High,Sunny,Medium,"Destination28,Destination1","5,3"
